day,score
2019-05-08,0.0
2019-05-09,-6010.0
2019-05-10,-10618.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,-902.0
2019-05-16,-5696.0
2019-05-17,-14081.0
2019-05-18,2556.0
2019-05-19,0.0
2019-05-20,0.0
2019-05-21,-5474.0
2019-05-22,1769.0
2019-05-23,-22533.0
2019-05-24,-5204.0
2019-05-25,2442.0
2019-05-27,0.0
2019-05-28,1719.0
2019-05-29,-2697.0
2019-05-30,-2184.0
2019-05-31,0.0
2019-06-03,-41185.0
2019-06-04,-2917.0
2019-06-05,4325.0
2019-06-06,-16121.0
2019-06-07,0.0
2019-06-10,-27181.0
2019-06-11,3405.0
2019-06-12,-2097.0
2019-06-13,-12162.0
2019-06-14,-5734.0
2019-06-15,0.0
2019-06-16,-4948.0
2019-06-17,2342.0
2019-06-18,1684.0
2019-06-19,-4851.0
2019-06-20,-4552.0
2019-06-21,3693.0
2019-06-22,3600.0
2019-06-24,-2102.0
2019-06-25,3500.0
2019-06-26,-6428.0
2019-06-27,0.0
2019-06-28,-22385.0
2019-06-29,0.0
2019-07-01,0.0
2019-07-02,1946.0
2019-07-03,-9700.0
2019-07-04,0.0
2019-07-05,-371.0
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,0.0
2019-07-09,-8393.0
2019-07-10,0.0
2019-07-11,2276.0
2019-07-12,-97140.0
2019-07-15,8243.0
2019-07-16,-4505.0
2019-07-17,-15618.0
2019-07-18,-9900.0
2019-07-19,-12056.0
2019-07-22,-2711.0
2019-07-23,-22988.0
2019-07-24,0.0
2019-07-25,-15124.0
2019-07-26,-4994.0
2019-07-29,0.0
2019-07-30,0.0
2019-07-31,4474.0
2019-08-01,-9644.0
2019-08-02,0.0
2019-08-05,0.0
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,-100316.0
2019-08-09,-26574.0
2019-08-12,-13284.0
2019-08-13,-18092.0
2019-08-14,0.0
2019-08-15,0.0
2019-08-16,0.0
2019-08-19,-5012.0
2019-08-20,2298.0
2019-08-21,2124.0
2019-08-22,-7491.0
2019-08-23,-7278.0
2019-08-26,3617.0
2019-08-27,4736.0
2019-08-28,8296.0
2019-08-29,-15062.0
2019-08-30,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,2699.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-09,0.0
2019-09-10,-7630.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-16,0.0
2019-09-17,-12188.0
2019-09-18,0.0
2019-09-19,-10482.0
2019-09-20,0.0
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,-33960.0
2019-09-27,0.0
2019-09-29,-39270.0
2019-09-30,0.0
2019-10-02,0.0
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-14,0.0
2019-10-15,-5866.0
2019-10-16,0.0
2019-10-17,-10054.0
2019-10-18,0.0
2019-10-21,0.0
2019-10-22,-1475.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,34511.0
2019-10-26,12222.0
2019-10-27,0.0
2019-10-28,-3232.0
2019-10-29,5970.0
2019-10-30,-2642.0
2019-10-31,-1276.0
2019-11-01,213.0
2019-11-02,0.0
2019-11-03,2849.0
